File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
scrubbed/Scrubbed_Files_01/lake1/20131225/proc_lake1_PST_D20131225T211516m826.wav,2013-12-25 21:15:16,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,mallar3,Mallard,0.2709
SYNC/Cam02/2020-11-16/UniFiVideo.Export.20201116.171001-20201116.143000/20201116.161000.JRNVR1Cam2.mp4,2020-11-16 09:10:00,28.0,Spectrogram 1,1.0,240.0,243.0,150.0,12000.0,heptan,Hepatic Tanager,0.1753
"SYNC/Cam09/2021-04-08/06 Camera 9 - 4-8-2021, 4.00.00am (4).mp4",2021-04-08 04:00:00,655.0,Spectrogram 1,1.0,2712.0,2715.0,150.0,12000.0,caltow,California Towhee,0.8159
scrubbed/Scrubbed_Files_03/upperlake1/20201026/proc_upperlake1_PST_D20201026T215709m262.wav,2020-10-26 21:57:09,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,mallar3,Mallard,0.4232
scrubbed/Scrubbed_Files_01/lake2/20130823/proc_lake2_D20130823T065002m744.wav,2013-08-23 06:50:02,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,refwar,Red-faced Warbler,0.1749
scrubbed/Scrubbed_Files_01/lake2/20150531/proc_lake2_PST_D20150531T034033m210.wav,2015-05-31 03:40:33,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,vigswa,Violet-green Swallow,0.642
scrubbed/Scrubbed_Files_03/lake2/20181007/proc_lake2_PST_D20181007T185135m913.wav,2018-10-07 18:51:35,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,brnowl,Barn Owl,0.315
scrubbed/Scrubbed_Files_01/lake2/20160629/proc_lake2_PST_D20160629T190810m509.wav,2016-06-29 19:08:10,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,vigswa,Violet-green Swallow,0.5698
SYNC/Cam10/2020-04-25/UniFiVideo.Export.20200426.024000-20200425.193001/20200425.204001.JRNVR1Cam10.mp4,2020-04-25 13:40:01,132.0,Spectrogram 1,1.0,540.0,543.0,150.0,12000.0,clcspa,Clay-colored Sparrow,0.1465
"SYNC/Cam09/2021-02-24/06 Camera 9 - 2-24-2021, 4.00.00am (5).mp4",2021-02-24 04:00:00,170.0,Spectrogram 1,1.0,1188.0,1191.0,150.0,12000.0,spotow,Spotted Towhee,0.1598
scrubbed/Scrubbed_Files_03/lake1/20200321/proc_lake1_PST_D20200321T174013m051.wav,2020-03-21 17:40:13,1.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,greant1,Great Antshrike,0.101
"SYNC/Cam07/2021-03-20/04 Camera 7 - 3-20-2021, 4.00.00am (9).mp4",2021-03-20 04:00:00,45.0,Spectrogram 1,1.0,171.0,174.0,150.0,12000.0,stejay,Steller's Jay,0.1248
"SYNC/Cam09/2021-04-16/06 Camera 9 - 4-16-2021, 4.00.00am (16).mp4",2021-04-16 04:00:00,62.0,Spectrogram 1,1.0,384.0,387.0,150.0,12000.0,caltow,California Towhee,0.2244
"SYNC/Cam10/2021-04-17/11 Camera 10 - 4-17-2021, 5.57.00am (4).mp4",2021-04-17 05:57:00,337.0,Spectrogram 1,1.0,1830.0,1833.0,150.0,12000.0,spotow,Spotted Towhee,0.1042
"SYNC/Cam09/2021-02-07/06 Camera 9 - 2-7-2021, 4.00.00am (8).mp4",2021-02-07 04:00:00,81.0,Spectrogram 1,1.0,2304.0,2307.0,150.0,12000.0,caltow,California Towhee,0.5572
SYNC/Cam10/2020-06-22/UniFiVideo.Export.20200623.042000-20200622.121000/20200623.042000.Cam10old.mp4,2020-06-22 21:20:00,61.0,Spectrogram 1,1.0,309.0,312.0,150.0,12000.0,grhowl,Great Horned Owl,0.4342
"SYNC/Cam09/2021-04-26/06 Camera 9 - 4-26-2021, 4.00.00am - 9.mp4",2021-04-26 04:00:00,101.0,Spectrogram 1,1.0,1122.0,1125.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.1478
SYNC/Cam10/2020-08-27/UniFiVideo.Export.20200827.135000-20200827.131001/20200827.162000.JRNVR1Cam10.mp4,2020-08-27 09:20:00,2.0,Spectrogram 1,1.0,15.0,18.0,150.0,12000.0,acowoo,Acorn Woodpecker,0.2322
